Are You a Hosteller?,Restaurant,Is the restaurant available on any online food delivery service like swiggy or zomato?,Do you prefer to go out and eat in this restaurant or order online?,Rating,Please write your favorite dish from this restaurant ,Best cuisines of the restaurant,Approximate Cost for 1 person in this restaurant (according to you),Is the restaurant air conditioned?,How crowded is the restaurant usually?
Yes,BIHARI DHABA (VIT MAIN GATE),Yes,Go out,4,,North Indian;South Indian,200,Yes,Moderately
Yes,LIMBRA STUDENT RESTARUANT (VIT GATE-2),Yes,Order Online,4,,Italian;Chinese,100,No,Highly
Yes,LASSI SHOP (VIT MAIN GATE),Yes,Go out,5,,South Indian;Italian;American,90,No,Moderately
Yes,THE CHINA VALLEY RESTAURANT (VIT MAIN GATE),Yes,Go out,4,,Italian;Chinese;American,150,Yes,Less
Yes,BARBECUE NATION (OFFICERS LINE),NO,Go out,5,,North Indian;South Indian;Italian;American,500,Yes,Highly
Yes,LIMBRA GARDEN RESTAURANT (VIT MAIN GATE),NO,Go out,5,Paneer butter masala,North Indian;South Indian,200,No,Highly
Yes,DRUNKEN MONEY (VIT MAIN ROAD),Yes,Go out,3,Chocolate shake ,American,200,Yes,Moderately
Yes,LIMBRA STUDENT RESTARUANT (VIT GATE-2),Yes,Go out,3,Paneer roll,North Indian,100,No,Highly
Yes,FRY YO (NEW KATPADI ROAD),Yes,Order Online,2,Pasta ,American,220,Yes,Less
Yes,TARA MAA (VIT MAIN GATE),Yes,Go out,4,,North Indian,150,Yes,Moderately
Yes,FLO CAFE (VIT MAIN GATE),Not Sure,Go out,4,,American,300,Yes,Less
No,THE CHINA VALLEY RESTAURANT (VIT MAIN GATE),Yes,Order Online,4,Honey chilly potato,Chinese,300,Yes,Highly
No,KFC (VELLORE KATPADI ROAD),Yes,Go out,5,Smokey red,American,500,Yes,Highly
Yes,Meat and Eat (VIT GATE-3),Not Sure,Go out,3,Chicken burger ,American,200,Yes,Less
Yes,DOMINOS (INSIDE VIT),Yes,Order Online,4,Pepperoni pizza,Italian,150,No,Moderately
Yes,ARASAN SJT CANTEEEN (INSIDE VIT),NO,Go out,3,Dosa ,South Indian,60,No,Highly
Yes,HART LOUNGE (VIT MAIN GATE),Yes,Go out,4,Shawrma,North Indian,200,Yes,Less
Yes,OH CHEAT DAY (VIT MAIN ROAD),Yes,Go out,3,Nutella Pancake,American,250,Yes,Less
No,TARA MAA (VIT MAIN GATE),Yes,Order Online,3,Punjabi chicken,North Indian,220,No,Highly
No,HART LOUNGE (VIT MAIN GATE),Yes,Go out,4,Shwarma,Italian,150,Yes,Highly
Yes,Dosart (VIT GATE-3),Yes,Go out,5,Dosa,South Indian,150,Yes,Moderately
Yes,GRT (GREEN CIRCLE),NO,Go out,5,Kadai chicken ,North Indian,300,Yes,Less
Yes,NEW DOMENO (VIT GATE-3),Yes,Order Online,5,Veg pasta and Garlic bread,Italian,150,Yes,Less
No,FLO CAFE (VIT MAIN GATE),Yes,Order Online,4,Potato Paledi,Italian,200,Yes,Moderately
No,LIMBRA STUDENT RESTARUANT (VIT GATE-2),Yes,Go out,4,Double Egg chicken roll,American,150,No,Highly
No,DOMINOS (INSIDE VIT),NO,Order Online,4,Chicken Overload Pizza,Italian,400,No,Highly
Yes,TAPRI (VIT GATE-3),Yes,Go out,4,Peri Peri Fries,Italian,150,No,Moderately
Yes,BAMBOO TREE (VIT GATE-3),Yes,Go out,5,Prawn biryani,North Indian;Italian;Chinese,250,Yes,Moderately
Yes,DC (INSIDE VIT),NO,Go out,1,Nothing,American,350,Yes,Less
Yes,BARBECUE NATION (OFFICERS LINE),Yes,Order Online,2,Chicken tikka,Italian,250,No,Moderately
No,HART LOUNGE (VIT MAIN GATE),Yes,Order Online,5,Chicken burger,North Indian,350,Yes,Moderately
Yes,LIMBRA GARDEN RESTAURANT (VIT MAIN GATE),Yes,Go out,4,Chicken pasta,Italian;Chinese,150,No,Moderately
Yes,TARA MAA (VIT MAIN GATE),Not Sure,Go out,5,Cream chicken,North Indian;Italian;Chinese;American,200,Yes,Highly
Yes,TAPRI (VIT GATE-3),Not Sure,Order Online,4,Fries,American,150,No,Less
Yes,FLO CAFE (VIT MAIN GATE),Yes,Go out,4,Cheesecake,Italian;American,400,Yes,Less
Yes,FRY YO (NEW KATPADI ROAD),Yes,Order Online,5,Chicken,American,400,Yes,Less
Yes,OH CHEAT DAY (VIT MAIN ROAD),Yes,Go out,5,Pancake,Italian;American,500,Yes,Moderately
Yes,KFC (VELLORE KATPADI ROAD),Yes,Go out,3,Hot Wings,American,300,Yes,Highly
Yes,TARA MAA (VIT MAIN GATE),NO,Go out,4,Cream chicken,North Indian,200,Yes,Highly
Yes,THE HOTSTONE KITCHEN (VIT GATE-2),NO,Order Online,5,Hawaiian Pizza,Italian,300,Yes,Moderately
Yes,TARA MAA (VIT MAIN GATE),NO,Order Online,4,Roasted Chicken,North Indian,150,Yes,Highly
